	fileid	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner
0	Bates/Free28/bettyst.xml	28	1.7692307692307692	30	4	4	0	3	6	0	0.39661016949152544	1	0	0	0	0	2	1	0	0	0	0	0	265	32	25	0	23	37	19
1	Bates/Free28/chuck.xml	28	2.4444444444444446	57	3	2	0	6	13	4	0.3542600896860987	2	0	0	0	0	0	0	0	0	0	0	1	389	38	14	0	56	48	22
2	Bates/Free28/chuck28.xml	28	2.0930232558139537	108	4	1	0	7	7	0	0.3009049773755656	1	0	0	0	0	0	0	0	0	0	0	3	334	40	8	0	53	21	11
3	Bates/Free28/chuckst.xml	28	2.269230769230769	60	2	2	0	3	21	8	0.3117408906882591	2	0	0	0	0	0	0	0	0	0	0	0	423	38	25	0	38	56	35
4	Bates/Free28/doug.xml	28	3.5238095238095237	86	2	1	0	4	13	3	0.387409200968523	0	0	1	0	1	0	0	0	0	0	0	0	318	31	12	0	28	38	14
5	Bates/Free28/doug28.xml	28	4.857142857142857	93	4	4	0	10	16	3	0.3893805309734513	1	0	0	1	2	0	0	0	0	0	0	0	359	48	27	0	60	35	19
6	Bates/Free28/dougst.xml	28	2.5555555555555554	30	3	1	0	0	7	1	0.32439024390243903	0	0	0	0	0	0	1	0	0	0	0	2	369	51	42	0	34	42	16
7	Bates/Free28/ed.xml	28	3.7777777777777777	38	3	3	0	4	7	2	0.4633333333333333	2	1	0	0	0	0	0	0	0	0	0	0	262	31	10	0	32	33	11
8	Bates/Free28/ed28.xml	28	3.911764705882353	137	14	13	0	10	11	1	0.3064516129032258	2	0	0	0	0	0	0	0	0	7	4	1	359	31	23	0	54	49	20
9	Bates/Free28/edst.xml	28	3.193548387096774	88	5	4	0	8	21	3	0.2669432918395574	0	0	0	3	1	0	0	0	0	0	0	1	635	77	56	0	82	67	22
10	Bates/Free28/frank.xml	28	2.066666666666667	71	4	3	0	5	3	1	0.3858093126385809	0	1	0	0	0	0	0	2	0	0	0	1	370	50	15	1	54	44	20
11	Bates/Free28/frank28.xml	28	2.0	54	1	1	0	5	10	1	0.43824701195219123	1	0	0	0	0	0	0	0	0	0	0	0	197	19	11	0	23	21	12
12	Bates/Free28/frankst.xml	28	1.4285714285714286	111	1	0	0	1	30	0	0.2510460251046025	0	0	1	0	0	0	0	0	0	0	0	0	367	41	32	0	28	43	23
13	Bates/Free28/george28.xml	28	2.5555555555555554	103	6	5	0	3	19	7	0.2744755244755245	1	0	1	0	1	2	0	0	0	1	0	0	469	34	16	1	64	91	54
14	Bates/Free28/georgest.xml	28	3.3448275862068964	86	7	6	0	6	21	6	0.336231884057971	0	0	1	5	0	1	0	0	0	0	0	0	246	24	16	0	26	33	18
15	Bates/Free28/gloria.xml	28	2.0	52	5	2	0	7	7	1	0.32212885154061627	1	1	1	0	0	0	0	0	0	0	0	2	301	33	7	0	46	28	6
16	Bates/Free28/gloria28.xml	28	1.9272727272727272	110	8	1	0	9	10	0	0.2575107296137339	0	0	1	1	0	0	0	0	0	0	0	6	356	35	12	0	61	20	12
17	Bates/Free28/gloriast.xml	28	1.7777777777777777	46	4	4	0	4	14	0	0.3392857142857143	1	0	0	3	0	0	0	0	0	0	0	0	317	30	18	0	32	38	11
18	Bates/Free28/hank.xml	28	3.608695652173913	96	9	3	0	15	23	6	0.26458036984352773	3	0	2	0	0	0	0	0	0	0	0	4	536	65	28	1	74	66	34
19	Bates/Free28/hank28.xml	28	2.021276595744681	110	4	3	0	9	23	5	0.36446469248291574	2	0	1	0	0	0	0	1	0	0	0	0	329	22	13	0	45	43	25
20	Bates/Free28/hankst.xml	28	2.5925925925925926	74	9	3	0	9	20	3	0.2981072555205047	1	0	4	0	0	2	0	0	0	0	0	2	521	69	39	0	75	67	41
21	Bates/Free28/ivy.xml	28	2.5588235294117645	101	3	3	0	13	10	1	0.3193069306930693	1	2	0	0	0	0	0	0	0	0	0	0	303	35	6	0	43	39	9
22	Bates/Free28/ivy28.xml	28	3.193548387096774	99	6	4	0	16	10	3	0.3163265306122449	1	0	0	0	0	0	1	1	0	1	0	2	293	41	13	0	47	22	18
23	Bates/Free28/ivyst.xml	28	2.7142857142857144	93	8	4	0	11	12	5	0.3386243386243386	2	0	1	1	0	1	0	0	0	0	0	3	226	34	25	0	30	20	7
24	Bates/Free28/jane.xml	28	3.5454545454545454	45	3	2	0	7	4	3	0.457286432160804	1	0	0	1	0	0	0	0	0	0	0	1	154	23	7	0	21	14	6
25	Bates/Free28/jane28.xml	28	2.5217391304347827	133	7	7	0	15	17	4	0.3143418467583497	5	0	0	0	0	0	0	2	0	0	0	0	376	23	19	0	55	50	26
26	Bates/Free28/janest.xml	28	2.4210526315789473	96	6	6	0	12	23	10	0.31451612903225806	1	0	0	1	2	1	1	0	0	0	0	0	257	41	27	0	41	24	8
27	Bates/Free28/jim.xml	28	3.5405405405405403	133	19	16	0	27	16	4	0.3138075313807531	9	0	0	2	0	0	0	3	0	2	0	3	341	60	24	0	64	29	10
28	Bates/Free28/jim28.xml	28	3.2432432432432434	114	8	7	1	14	18	5	0.3458149779735683	1	0	0	1	0	0	1	1	0	3	0	1	340	39	31	0	51	33	12
29	Bates/Free28/jimst.xml	28	3.066666666666667	51	7	7	0	8	8	4	0.41237113402061853	5	0	0	1	0	1	0	0	0	0	0	0	124	16	11	0	14	15	11
30	Bates/Free28/kathy.xml	28	2.0	8	1	1	0	2	1	0	0.46875	1	0	0	0	0	0	0	0	0	0	0	0	170	16	0	0	28	17	6
31	Bates/Free28/kathy28.xml	28	1.76	70	0	0	0	2	6	0	0.3215767634854772	0	0	0	0	0	0	0	0	0	0	0	0	412	23	5	0	60	61	35
32	Bates/Free28/kathyst.xml	28	1.5555555555555556	22	2	1	0	1	11	1	0.32793522267206476	1	0	0	0	0	0	0	0	0	0	0	1	415	46	20	0	57	52	33
33	Bates/Free28/keith.xml	28	3.388888888888889	65	9	7	0	4	11	5	0.43317972350230416	5	1	2	1	0	0	0	0	0	0	0	0	152	21	10	0	22	24	10
34	Bates/Free28/keith28.xml	28	3.0833333333333335	165	13	12	0	18	33	13	0.28093158660844253	6	0	0	2	0	1	0	1	0	2	0	1	522	52	29	0	83	70	42
35	Bates/Free28/keithst.xml	28	3.8653846153846154	205	28	26	0	19	41	21	0.2323943661971831	7	0	1	5	0	11	3	0	0	0	0	1	634	97	68	0	99	62	27
36	Bates/Free28/kent.xml	28	2.9210526315789473	145	15	2	0	21	26	4	0.28125	1	0	1	1	0	0	0	0	0	0	0	12	267	22	5	0	27	45	12
37	Bates/Free28/kent28.xml	28	2.838235294117647	223	2	0	0	21	27	6	0.250501002004008	0	0	0	0	0	0	0	0	0	0	0	2	276	13	3	0	32	31	30
38	Bates/Free28/kentst.xml	28	1.6129032258064515	68	0	0	0	2	16	2	0.3079922027290448	0	0	0	0	0	0	0	0	0	0	0	0	443	43	33	0	51	55	33
39	Bates/Free28/linda.xml	28	2.9047619047619047	72	9	8	0	8	16	2	0.36009732360097324	7	0	0	0	0	0	0	0	0	0	1	1	337	51	15	0	45	40	8
40	Bates/Free28/linda28.xml	28	2.723404255319149	134	6	2	0	9	19	1	0.3263157894736842	2	0	0	0	0	0	0	0	0	0	0	4	246	26	11	0	26	29	17
41	Bates/Free28/lindast.xml	28	1.9411764705882353	32	2	1	0	1	8	3	0.42570281124497994	0	0	0	1	0	0	0	0	0	0	0	1	217	23	13	1	27	33	17
42	Bates/Free28/mandy.xml	28	2.1379310344827585	63	2	2	0	7	21	8	0.4083129584352078	1	0	0	0	0	1	0	0	0	0	0	0	346	36	26	0	43	41	26
43	Bates/Free28/mandy28.xml	28	3.25	200	6	1	0	16	38	13	0.36363636363636365	0	1	1	0	0	0	0	0	0	0	0	4	174	18	14	0	21	15	5
44	Bates/Free28/nan.xml	28	3.625	116	3	2	0	9	27	8	0.2649310872894334	0	0	0	2	0	0	0	0	0	0	0	1	537	83	40	0	94	79	37
45	Bates/Free28/nan28.xml	28	3.4642857142857144	212	8	4	0	20	8	2	0.22979397781299524	1	1	1	0	0	0	0	1	0	1	0	3	419	43	26	0	50	32	18
46	Bates/Free28/nanst.xml	28	2.392857142857143	157	5	4	0	11	40	6	0.2506172839506173	0	0	0	1	0	3	0	0	0	0	0	1	590	69	47	0	77	68	33
47	Bates/Free28/olivia.xml	28	2.823529411764706	93	9	5	0	8	16	1	0.3348115299334812	4	1	3	0	0	0	0	0	0	0	0	1	321	44	13	0	37	34	15
48	Bates/Free28/olivia28.xml	28	3.0	102	8	7	0	8	22	4	0.3273809523809524	2	0	0	0	0	3	1	0	0	1	0	1	402	34	22	0	44	68	38
49	Bates/Free28/oliviast.xml	28	2.911111111111111	137	22	22	0	21	18	8	0.23752151462994836	14	0	0	3	0	3	2	0	0	0	0	0	409	55	40	0	59	29	24
50	Bates/Free28/paula.xml	28	2.5555555555555554	57	9	2	0	7	8	0	0.3359173126614987	1	1	2	0	0	0	0	0	0	0	0	5	326	57	18	0	50	44	11
51	Bates/Free28/paula28.xml	28	3.022727272727273	212	3	1	0	43	9	0	0.24279835390946503	1	0	1	0	0	0	0	0	0	0	0	1	274	32	16	1	33	18	12
52	Bates/Free28/paulast.xml	28	2.0384615384615383	125	3	1	0	5	26	5	0.25618374558303886	0	0	2	0	0	0	1	0	0	0	0	0	395	47	30	0	44	53	30
53	Bates/Free28/pete.xml	28	3.0588235294117645	59	12	6	0	6	9	1	0.32171581769436997	6	0	0	0	0	0	0	0	0	0	0	6	286	30	10	0	46	34	6
54	Bates/Free28/pete28.xml	28	2.380952380952381	55	3	2	0	6	13	2	0.30103092783505153	2	0	0	0	0	0	0	0	0	0	0	1	430	37	25	1	49	80	33
55	Bates/Free28/petest.xml	28	3.5	42	4	3	0	4	8	1	0.39892183288409705	0	0	0	2	0	1	0	0	0	0	0	1	216	20	15	0	19	32	15
56	Bates/Free28/rick.xml	28	2.5384615384615383	47	2	2	0	1	12	0	0.43137254901960786	2	0	0	0	0	0	0	0	0	0	0	0	141	22	4	0	20	10	3
57	Bates/Free28/rick28.xml	28	1.7619047619047619	43	1	1	1	6	6	0	0.5043859649122807	0	1	0	0	0	0	0	0	0	0	0	0	185	20	8	0	25	20	9
58	Bates/Free28/rickst.xml	28	1.875	20	0	0	0	0	10	0	0.6091954022988506	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	1	6	4
59	Bates/Free28/ruth.xml	28	2.392857142857143	73	8	4	0	6	6	0	0.391812865497076	2	0	2	2	0	0	0	0	0	0	0	2	269	29	5	0	36	31	8
60	Bates/Free28/ruth28.xml	28	2.738095238095238	152	3	3	0	15	19	1	0.2674825174825175	1	0	0	0	0	0	0	0	0	2	0	0	420	40	22	0	58	47	24
61	Bates/Free28/ruthst.xml	28	2.0	74	1	0	0	3	17	3	0.32270916334661354	0	0	1	0	0	0	0	0	0	0	0	0	407	32	26	0	40	59	28
62	Bates/Free28/steve.xml	28	2.911111111111111	153	29	22	0	16	7	0	0.29411764705882354	19	1	2	1	0	0	0	0	0	0	1	5	527	83	29	0	88	40	25
63	Bates/Free28/steve28.xml	28	2.9047619047619047	81	8	6	0	8	11	6	0.3268765133171913	6	0	0	0	0	0	0	0	0	0	0	2	332	19	7	0	48	47	24
64	Bates/Free28/stevest.xml	28	3.275	132	10	5	0	14	30	2	0.30751708428246016	2	0	0	3	0	0	0	0	0	0	0	5	292	17	11	0	27	44	25
65	Bates/Free28/sue.xml	28	2.1538461538461537	33	3	2	0	3	5	0	0.4	2	0	0	0	0	0	0	0	0	0	0	1	152	19	0	0	18	22	3
66	Bates/Free28/sue28.xml	28	1.3333333333333333	45	1	0	0	4	1	1	0.3634085213032581	0	0	0	0	0	0	0	0	0	0	0	1	354	58	11	0	60	20	15
67	Bates/Free28/suest.xml	28	3.3255813953488373	140	13	11	0	6	37	18	0.31048387096774194	2	0	0	3	0	3	3	0	0	0	0	2	341	47	33	0	37	42	21
68	Bates/Free28/tom.xml	28	3.085714285714286	148	16	14	0	12	16	4	0.35967302452316074	14	0	1	0	0	0	0	0	0	0	0	1	219	13	2	0	21	28	6
69	Bates/Free28/tom28.xml	28	2.4464285714285716	165	5	4	0	29	26	3	0.3392857142857143	3	1	1	0	0	0	0	0	0	0	0	0	283	24	5	0	37	41	18
70	Bates/Free28/tomst.xml	28	4.107142857142857	116	26	25	0	16	13	6	0.3333333333333333	0	0	0	14	8	3	0	0	0	0	0	1	210	15	11	0	25	14	13
71	Bates/Free28/vicki.xml	28	2.2142857142857144	32	0	0	0	4	8	0	0.3821656050955414	0	0	0	0	0	0	0	0	0	0	0	0	282	49	20	0	34	33	6
72	Bates/Free28/vicki28.xml	28	1.368421052631579	34	2	1	0	3	4	0	0.26903553299492383	1	0	0	0	0	0	0	0	0	0	0	1	557	51	35	0	89	83	64
73	Bates/Free28/wanda.xml	28	3.658536585365854	165	25	11	0	15	10	1	0.33557046979865773	9	0	12	0	0	1	1	0	0	0	0	2	282	31	10	0	35	32	16
74	Bates/Free28/wanda28.xml	28	3.9743589743589745	166	8	3	0	24	24	9	0.3316062176165803	2	0	1	0	0	0	0	1	0	0	0	4	220	13	3	0	33	26	15
75	Bates/Free28/wandast.xml	28	4.108108108108108	154	13	10	0	29	32	15	0.3136094674556213	6	1	1	2	0	0	1	0	0	0	0	2	281	25	16	0	41	33	26
76	Bates/Free28/will.xml	28	2.3548387096774195	82	4	1	0	4	24	5	0.3597122302158273	1	0	0	0	0	0	0	0	0	0	0	3	311	28	5	0	33	43	11
77	Bates/Free28/will28.xml	28	2.215686274509804	142	4	1	0	14	19	5	0.2396039603960396	0	0	0	0	0	0	0	0	0	0	1	3	363	33	11	0	47	33	19
78	Bates/Free28/willst.xml	28	2.3260869565217392	131	6	3	0	6	37	15	0.29	1	0	0	1	0	0	1	0	0	0	0	3	463	41	32	0	48	48	27
79	Bates/Free28/zeke.xml	28	3.3333333333333335	51	0	0	0	5	13	2	0.4885057471264368	0	0	0	0	0	0	0	0	0	0	0	0	123	7	1	0	12	24	10
80	Bates/Free28/zeke28.xml	28	3.6	96	6	6	1	21	19	4	0.33729216152019004	3	2	0	1	0	0	0	0	0	0	0	0	325	15	10	0	38	58	36
81	Bates/Free28/zekest.xml	28	2.1379310344827585	65	4	4	0	6	18	5	0.3737704918032787	1	0	0	0	0	2	1	0	0	0	0	0	235	16	13	0	27	42	23
