,Unnamed: 0,file,age,mlu,#words,#pronouns,#cased_pronoun,#errors,#verb,#noun,#determiner,richness,#I,#me,#you,#he,#him,#she,#her,#we,#us,#they,#them,#it,#parentwords,#parentpronouns,parentcased_pronouns,parenterrors,#parent_verb,#parent_noun,#parent_determiner,#past,#present,#perfect,#untensed
0,0,VanKleeck/amy,45,3.96969697,259,45,25,0,41,33,10,0.226446281,13,2,10,2,1,1,0,1,1,2,2,10,951,140,62,0,132,129,48,9,4,2,26
1,1,VanKleeck/amy,45,5.240384615,499,86,57,1,66,60,27,0.203212291,30,3,10,6,3,2,2,0,1,6,4,19,933,148,60,0,131,96,41,14,6,1,45
2,2,VanKleeck/andrew,48,4.880733945,493,56,31,0,66,95,37,0.207889793,20,3,7,2,0,0,0,0,0,4,2,18,1104,192,76,0,160,131,64,37,18,13,-2
3,3,VanKleeck/andrew,48,4.836538462,502,43,25,0,55,94,58,0.188208617,20,0,1,2,0,0,0,3,0,0,0,17,1262,164,70,0,173,179,108,11,9,5,30
4,4,VanKleeck/ben,44,7.159090909,895,115,76,0,129,108,46,0.187755102,33,1,15,6,0,5,2,6,2,15,6,24,1310,198,86,1,190,153,75,51,17,12,49
5,5,VanKleeck/ben,44,6.073298429,1021,139,76,0,189,99,40,0.178075634,28,4,15,17,0,3,2,10,2,3,7,48,1068,180,82,0,167,98,52,59,24,14,92
6,6,VanKleeck/bree,46,4.092783505,405,66,36,0,69,47,23,0.194736842,13,1,17,3,1,3,9,2,0,0,4,13,1305,203,80,0,182,162,82,2,1,0,66
7,7,VanKleeck/brent,45,6.523584906,1321,193,111,0,199,133,92,0.164567249,21,3,37,12,1,2,2,31,3,12,24,45,1140,187,87,0,172,116,68,39,17,13,130
8,8,VanKleeck/chris,46,4,493,74,43,1,67,59,26,0.246679317,33,1,18,2,1,2,0,0,0,4,0,13,1088,144,48,0,147,154,61,24,8,5,30
9,9,VanKleeck/david,48,6.506666667,937,123,56,0,118,137,68,0.161052632,13,3,27,0,0,1,0,12,8,15,4,40,963,134,44,0,135,134,59,21,13,3,81
10,10,VanKleeck/david,48,5.993506494,910,102,45,1,154,106,33,0.166200336,11,4,23,1,0,0,0,9,9,11,0,34,877,144,58,1,131,78,33,44,27,21,62
11,11,VanKleeck/graham,45,7.05785124,849,100,71,0,123,121,55,0.163724625,40,5,18,8,1,0,0,4,1,10,2,11,1417,226,103,0,213,204,97,14,14,5,90
12,12,VanKleeck/graham,45,5.254545455,579,65,36,0,72,69,49,0.178378378,15,1,18,1,0,0,0,7,2,7,3,11,1271,176,73,1,164,190,108,16,11,4,41
13,13,VanKleeck/jenny,37,3.941176471,223,28,22,0,31,36,14,0.296732026,16,2,2,0,0,0,0,3,0,0,1,4,542,71,26,0,70,66,22,3,0,0,28
14,14,VanKleeck/jenny,37,3.388888889,200,24,13,0,24,35,7,0.291609354,11,2,11,0,0,0,0,0,0,0,0,0,527,94,49,11,71,88,6,1,0,0,23
15,15,VanKleeck/jessica,44,4.884057971,678,73,40,0,95,101,31,0.185508736,22,3,19,7,0,2,2,1,3,0,0,14,1268,196,102,0,183,186,64,15,12,1,67
16,16,VanKleeck/jessica,44,5.779874214,879,172,130,0,146,116,29,0.185945946,41,7,16,2,1,20,49,2,3,3,2,26,971,167,103,2,144,129,38,13,13,3,117
17,17,VanKleeck/justin,46,5.011627907,447,46,34,0,50,56,16,0.233637117,17,1,2,4,1,1,0,8,0,0,2,10,760,107,45,0,89,115,36,12,9,3,26
18,18,VanKleeck/justin,46,5.571428571,520,88,55,0,88,57,23,0.230253353,39,5,3,2,0,0,0,6,0,0,3,30,822,137,32,0,122,95,43,22,9,1,56
19,19,VanKleeck/justin,46,5.295336788,990,133,66,0,155,122,49,0.173758865,36,4,11,1,0,0,0,13,3,4,5,56,1266,204,58,0,177,156,71,18,15,3,119
20,20,VanKleeck/lara,48,6.178217822,579,63,41,1,87,92,45,0.18907563,15,2,12,0,0,3,0,7,1,9,4,10,1087,164,62,1,146,130,45,13,12,2,60
21,21,VanKleeck/lara,48,5.848484848,201,30,25,1,34,33,16,0.242038217,14,3,2,0,0,0,2,0,0,3,3,3,898,135,60,0,127,115,61,3,1,0,30
22,22,VanKleeck/matjoy,47,5.691176471,755,117,67,0,122,87,38,0.203680203,35,5,29,1,0,3,0,7,4,2,10,21,821,133,53,0,127,106,54,26,5,3,88
23,23,VanKleeck/matjoy,47,6.439306358,1084,143,91,0,154,173,46,0.175469227,48,7,27,1,1,10,9,2,3,3,7,25,1207,198,85,0,180,174,78,52,21,6,75
24,24,VanKleeck/mattm,47,4.673202614,723,81,56,1,127,90,44,0.18413083,33,6,10,5,1,0,5,2,2,0,2,15,928,136,67,0,134,98,51,15,9,4,99
25,25,VanKleeck/mattm,47,4.431578947,466,54,26,0,51,61,31,0.199372057,18,3,17,1,3,0,0,0,0,1,0,11,808,125,44,0,112,88,42,5,6,1,39
26,26,VanKleeck/megan,47,6.256198347,707,94,71,0,90,113,28,0.190909091,32,4,13,0,0,18,4,4,2,5,2,10,1383,198,80,0,189,181,79,27,12,2,49
27,27,VanKleeck/megan,47,5.773584906,632,110,64,0,93,70,21,0.186496956,43,4,18,0,0,7,7,2,0,0,1,28,1175,223,72,0,187,123,44,10,3,2,78
28,28,VanKleeck/nikki,42,5.737864078,598,67,44,0,91,76,31,0.297941495,23,1,15,4,0,1,0,8,4,2,1,8,325,38,16,0,43,45,22,3,8,0,80
29,29,VanKleeck/nikki,42,5.344444444,506,62,28,1,68,51,22,0.233230134,17,1,19,3,1,0,0,2,2,2,0,15,463,65,24,1,58,61,33,13,6,1,48
30,30,VanKleeck/nikki,42,5.454545455,469,34,19,0,50,82,33,0.227642276,8,1,6,0,0,4,0,1,0,5,0,9,638,85,44,0,96,58,30,19,10,5,16
31,31,VanKleeck/nikki,42,5.514018692,586,65,46,0,89,72,32,0.224978614,23,2,11,7,0,9,0,2,2,1,0,8,583,87,42,0,89,75,27,20,12,4,53
32,32,VanKleeck/rachel,44,5.625,748,124,84,0,122,102,42,0.195217179,41,5,20,6,2,5,19,2,0,1,3,20,1301,221,96,0,180,156,60,13,3,1,105
33,33,VanKleeck/rachel,44,4.5,554,69,47,0,76,84,43,0.226530612,27,0,8,1,0,0,6,7,1,2,3,14,916,125,54,0,119,105,57,11,8,3,54
34,34,VanKleeck/shea,44,6.228915663,1014,135,87,0,140,122,74,0.188137164,39,2,16,5,0,6,12,1,9,11,2,32,1144,166,68,0,157,153,97,22,10,6,102
35,35,VanKleeck/susan,43,4.316901408,620,84,58,1,81,88,33,0.187189672,25,5,10,1,0,1,6,12,2,1,5,16,1394,214,87,0,200,172,91,16,8,3,54
36,36,VanKleeck/susan,43,5.205298013,765,96,59,0,97,110,42,0.168030814,41,2,8,0,0,0,2,12,0,2,0,29,1312,211,84,0,181,160,67,23,8,4,62
37,37,VanKleeck/walter,48,3.666666667,150,15,9,0,14,26,5,0.322734499,3,1,6,3,0,0,0,0,1,0,1,0,479,79,33,1,67,66,15,3,1,0,10
38,38,VanKleeck/walter,48,3.24,80,5,3,0,7,18,5,0.436137072,1,0,1,1,0,0,0,1,0,0,0,1,241,37,16,0,40,39,15,2,0,0,5
39,39,VanKleeck/walter,48,2.5,60,3,2,0,6,15,5,0.481481481,2,0,1,0,0,0,0,0,0,0,0,0,237,30,14,0,27,32,8,0,0,0,6